ID,Title,Preconditions,Steps,Test Data,Expected result,Actual Result,,,,,,,,
TC1-R1,"Trying to add to cart while not logging in
with no previous account on the device for this session",Fresh open app with no previous log in account,"1-If app is opened, kill it then reopen, otherwise, just open the app.
2-Choose item, try to add it to cart without logging in.",,System blocks action and shows error message,,Traceability table:,,,,,,,
TC2-R1,Logged out user trying to add to cart,log out from existing account,,,,,,R1,R2,R3,R4,R5,R6,R7
TC3-R1,,,,,,,Conditions:,,,,,,,
TC4-R1,,,,,,,logged,F,T,T,T,T,T,T
TC5-R1,,,,,,,item >=1,don't care,F,T,T,T,T,T
TC6-R2,,,,,,,Item in stock,don't care,don't care,F,T,T,T,T
,,,,,,,no msg,don't care,don't care,don't care,F,F,F,T
TC7-R4,,,,,,,show msg with no link,don't care,don't care,don't care,T,F,F,F
TC8-R3,,,,,,,show msg with wrong link,don't care,don't care,don't care,F,T,F,F
TC9-R5,,,,,,,show msg with valid link to the cart,don't care,don't care,don't care,F,F,T,F
,,,,,,,"valid:
R6 -logged, 1 item, in stock, msg, click link, goto cart

invalid:
R1 -unlogged
R2 -logged but 0 items
R2 -logged but -ve number
R3 -logged but number over stock
R7 -logged with 1 item in stock, but no msg
R4 -logged with 1 item in stock, but msg with no link
R5 -logged with 1 item in stock, but msg with wrong link",,,,,,,
